NAME_x,B09001_001E,B01003_001E,state,county,county_fips,child_pop,total_pop,pct_children,children_in_poverty,child_poverty_rate,NAME_y,county_name,Audiology,Behavioral Health,Developmental Pediatrics,ENT,PT/OT/SLP,Pediatric Cardiology,Pediatric Neurology,Vision,total_pediatric_providers,children_per_provider,children_per_pediatric_neurology,children_per_pt_ot_slp,children_per_developmental_pediatrics,children_per_pediatric_cardiology,children_per_behavioral_health,children_per_audiology,children_per_ent,children_per_vision,access_level
"Person County, North Carolina",8043,39131,37,145,37145,8043,39131,20.6,2456,30.9,"Person County, North Carolina",Person County,1,0,1,0,6,0,0,0,8,1005.0,,1340.0,8043.0,,,8043.0,,,Severe Desert
"Pitt County, North Carolina",36337,171196,37,147,37147,36337,171196,21.2,7885,22.4,"Pitt County, North Carolina",Pitt County,37,11,14,6,80,9,20,13,190,191.0,1817.0,454.0,2596.0,4037.0,3303.0,982.0,6056.0,2795.0,Underserved
"Polk County, North Carolina",3070,19538,37,149,37149,3070,19538,15.7,412,13.6,"Polk County, North Carolina",Polk County,0,0,0,0,1,0,0,1,2,1535.0,,3070.0,,,,,,3070.0,Severe Desert
"Randolph County, North Carolina",32055,144403,37,151,37151,32055,144403,22.2,6244,19.9,"Randolph County, North Carolina",Randolph County,1,0,0,2,15,0,2,1,21,1526.0,16028.0,2137.0,,,,32055.0,16028.0,32055.0,Severe Desert
"Richmond County, North Carolina",10043,43149,37,153,37153,10043,43149,23.3,3664,37.1,"Richmond County, North Carolina",Richmond County,0,1,0,0,3,0,0,0,4,2511.0,,3348.0,,,10043.0,,,,Severe Desert
"Robeson County, North Carolina",29302,117573,37,155,37155,29302,117573,24.9,10949,37.8,"Robeson County, North Carolina",Robeson County,2,1,1,1,22,1,3,2,33,888.0,9767.0,1332.0,29302.0,29302.0,29302.0,14651.0,29302.0,14651.0,Severe Desert
"Rockingham County, North Carolina",18317,91209,37,157,37157,18317,91209,20.1,5157,29.6,"Rockingham County, North Carolina",Rockingham County,0,1,5,0,7,0,1,1,15,1221.0,18317.0,2617.0,3663.0,,18317.0,,,18317.0,Severe Desert
"Rowan County, North Carolina",32377,147067,37,159,37159,32377,147067,22.0,7938,25.0,"Rowan County, North Carolina",Rowan County,12,4,5,4,27,0,11,4,67,483.0,2943.0,1199.0,6475.0,,8094.0,2698.0,8094.0,8094.0,Underserved
"Rutherford County, North Carolina",13072,64680,37,161,37161,13072,64680,20.2,3148,24.6,"Rutherford County, North Carolina",Rutherford County,0,1,0,2,3,0,1,0,7,1867.0,13072.0,4357.0,,,13072.0,,6536.0,,Severe Desert
"Sampson County, North Carolina",14375,59317,37,163,37163,14375,59317,24.2,4686,33.5,"Sampson County, North Carolina",Sampson County,0,1,2,1,18,0,1,2,25,575.0,14375.0,799.0,7188.0,,14375.0,,14375.0,7188.0,Severe Desert
"Scotland County, North Carolina",7762,34222,37,165,37165,7762,34222,22.7,3094,40.6,"Scotland County, North Carolina",Scotland County,1,0,0,1,3,0,1,1,7,1109.0,7762.0,2587.0,,,,7762.0,7762.0,7762.0,Severe Desert
"Stanly County, North Carolina",13486,62723,37,167,37167,13486,62723,21.5,2758,20.7,"Stanly County, North Carolina",Stanly County,1,1,0,1,6,0,2,1,12,1124.0,6743.0,2248.0,,,13486.0,13486.0,13486.0,13486.0,Severe Desert
"Stokes County, North Carolina",8286,44696,37,169,37169,8286,44696,18.5,1305,16.3,"Stokes County, North Carolina",Stokes County,0,1,1,0,1,0,0,0,3,2762.0,,8286.0,8286.0,,8286.0,,,,Severe Desert
"Surry County, North Carolina",14988,71429,37,171,37171,14988,71429,21.0,3379,23.2,"Surry County, North Carolina",Surry County,0,0,1,2,9,0,2,6,20,749.0,7494.0,1665.0,14988.0,,,,7494.0,2498.0,Severe Desert
"Swain County, North Carolina",3196,14130,37,173,37173,3196,14130,22.6,970,31.4,"Swain County, North Carolina",Swain County,0,0,0,0,4,0,0,1,5,639.0,,799.0,,,,,,3196.0,Severe Desert
"Transylvania County, North Carolina",5125,33131,37,175,37175,5125,33131,15.5,980,19.4,"Transylvania County, North Carolina",Transylvania County,1,0,1,0,1,0,1,7,11,466.0,5125.0,5125.0,5125.0,,,5125.0,,732.0,Underserved
"Tyrrell County, North Carolina",579,3389,37,177,37177,579,3389,17.1,168,30.8,"Tyrrell County, North Carolina","Tyrrell County, North Carolina",0,0,0,0,0,0,0,0,0,,,,,,,,,,No Providers
"Union County, North Carolina",62486,240109,37,179,37179,62486,240109,26.0,4970,8.1,"Union County, North Carolina",Union County,6,2,3,5,32,0,5,4,57,1096.0,12497.0,1953.0,20829.0,,31243.0,10414.0,12497.0,15622.0,Severe Desert
"Vance County, North Carolina",10088,42492,37,181,37181,10088,42492,23.7,2612,26.2,"Vance County, North Carolina",Vance County,1,0,1,1,6,0,1,2,12,841.0,10088.0,1681.0,10088.0,,,10088.0,10088.0,5044.0,Severe Desert
"Wake County, North Carolina",264406,1132103,37,183,37183,264406,1132103,23.4,24615,9.4,"Wake County, North Carolina",Wake County,119,44,157,56,347,7,64,81,875,302.0,4131.0,762.0,1684.0,37772.0,6009.0,2222.0,4722.0,3264.0,Underserved
"Warren County, North Carolina",3385,18803,37,185,37185,3385,18803,18.0,1219,36.5,"Warren County, North Carolina",Warren County,0,0,0,0,2,0,0,0,2,1692.0,,1692.0,,,,,,,Severe Desert
"Washington County, North Carolina",2228,11051,37,187,37187,2228,11051,20.2,605,27.7,"Washington County, North Carolina","Washington County, North Carolina",0,0,0,0,0,0,0,0,0,,,,,,,,,,No Providers
"Watauga County, North Carolina",6602,54540,37,189,37189,6602,54540,12.1,573,8.8,"Watauga County, North Carolina",Watauga County,6,4,0,6,10,0,7,4,37,178.0,943.0,660.0,,,1650.0,1100.0,1100.0,1650.0,Underserved
"Wayne County, North Carolina",27546,117480,37,191,37191,27546,117480,23.4,7595,28.0,"Wayne County, North Carolina",Wayne County,4,10,8,5,20,0,3,5,55,501.0,9182.0,1377.0,3443.0,,2755.0,6886.0,5509.0,5509.0,Severe Desert
"Wilkes County, North Carolina",13239,66125,37,193,37193,13239,66125,20.0,3558,27.8,"Wilkes County, North Carolina",Wilkes County,3,0,0,0,5,1,1,2,12,1103.0,13239.0,2648.0,,13239.0,,4413.0,,6620.0,Severe Desert
"Wilson County, North Carolina",17924,78667,37,195,37195,17924,78667,22.8,5348,30.3,"Wilson County, North Carolina",Wilson County,3,1,0,2,13,0,1,3,23,779.0,17924.0,1379.0,,,17924.0,5975.0,8962.0,5975.0,Severe Desert
"Yadkin County, North Carolina",7691,37280,37,197,37197,7691,37280,20.6,1680,22.1,"Yadkin County, North Carolina",Yadkin County,0,0,1,0,4,0,0,0,5,1538.0,,1923.0,7691.0,,,,,,Severe Desert
"Yancey County, North Carolina",3423,18538,37,199,37199,3423,18538,18.5,801,23.6,"Yancey County, North Carolina",Yancey County,0,0,0,0,1,0,0,0,1,3423.0,,3423.0,,,,,,,Severe Desert
